b'Speech Language Pathologist Full Time Payson UT- job post',b'$32 - $44 an hour - Full-time',"b""We are thrilled to announce a full time Speech Language Pathologist position in beautiful Payson UT. We are a looking for a Speech Language Pathologist to work at our SNF and help our patients meet all of their treatment goals. We offer a great work environment a beautiful facility to work in and a fantastic team to join. Our Speech Language Pathologist will be responsible for the following:Evaluating levels of swallowing speech and language difficultyIdentifying treatment optionsCreating and carrying out individualized treatment plans addressing specific functional needsTeaching patients how to make sounds while improving their voices and maintaining fluencyHelping individuals improve sentence structure and vocabulary used in written and oral languageWorking with adults in developing and strengthening muscles used to swallowCounseling individuals and families on ways to cope with swallowing and communication disordersWe offer our Speech Language Pathologist generous compensation a great team environment and endless career potential. We are located at 55 Professional Way Payson UT 84651. We can't wait to meet you!Job Type: Full-timePay: $32.00 - $44.00 per hourBenefits:Dental insuranceFlexible spending accountHealth insuranceHealth savings accountPaid time offVision insuranceSchedule:Monday to FridayWork Location: One location"""
b'VICTIM ADVOCATE- job post',b'$19.99 - $29.98 an hour - Full-time',b'Salary/Pay Rate:$19.99 to $29.98 hourlyOpening Date:12/8/2022Closing Date:12/22/2022 5:00 PMEmployment OpportunityThe City of Orem Police Department is currently hiring for a Victim Advocate. This is a full-time benefited position working under the direction of the Victim Advocate Supervisor and a Police Lieutenant. The Victim Advocate is an integral part in helping us build and preserve a community in which we all want to live by assisting victims of crime through crisis intervention the judicial process the legal processes and resources such as shelter education counseling and financial assistance. Fluency in Spanish is preferred and highly desired for this position.ScheduleFull-time 40 hours per week.Application Process1. ApplicationsApplication deadline is on Thursday December 22 2022 at 5:00 pm.ONLY THE INFORMATION ON OR ATTACHED TO THE APPLICATION WILL BE USED FOR SCREENING PURPOSES.2. Application ReviewsApplications will be reviewed and passes on to the hiring manager on the first business day after the application deadline.3. Interview Panel(s)Selected Applicants will be contacted to schedule an interview at the discretion of the hiring manager.THE CITY OF OREM IS AN EQUAL OPPORTUNITY EMPLOYER'
b'Full-time Dental Front Office Receptionist- job post',b'$15 - $21 an hour - Full-time',"b""We are a busy dental office located in Orem right off the freeway. We are looking for a full-time employee 4 days a week from 8 am-5pm to help our front office staff. we are looking for someone with 1-2 years of experience in the dental field. But willing to train the right person. Pay is based on experience.Duties include but are not limited to; Confirming and scheduling patient appointments checking in lab cases taking payment and making financial arrangements getting insurance breakdowns and verifying insurance coverage.Thank you we can't wait to set up an interview!Job Type: Full-timeJob Type: Full-timePay: $15.00 - $21.00 per hourBenefits:Paid time offSchedule:8 hour shiftExperience:Customer service: 1 year (Preferred)Work Location: One location"""
empty,b'Up to $19.25 an hour - Seasonal',b'IMMEDIATE OPENINGS!Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America and our economy moving. Be part of a winning team and workplace community that cares about who you are as an individual and your safety in the workplace.Perks and Benefits at FedEx GroundCompetitive wages paid weekly for both full and part time opportunities$5250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment!Generous paid time off program  work your way up to 5 weeks of PTO a year!Medical dental and vision benefits after a short waiting period.Flexible scheduling that helps balance your work and personal life.Valuable employee discounts on things like cell phone plans electronics cars and restaurants.Free Purple Pathways career development program for all FedEx Ground employees.Paid parental leave for both moms and dads!Employee networks and diversity equity and inclusion programs available for all employees.What you can expect at FedEx Ground:Fast paced and physical warehouse work  why pay for a gym membership when you can get paid while working out?Warehouse duties include loading unloading and sorting of packages of various sizes.Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts.Shift lengths vary based on package volume  generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours.Overtime paid after 40 hours a week.Reasonable accommodations are available for qualified individuals with disabilities.Address: 526 East 1750 NorthCity: VineyardState: UtahZip Code: 84057Domicile Location: FXG-US/USA/P846/Provo ColocationAuto req ID: 376990BRAdditional Location Information: **Earn up to $19.25 per hour to start!Seasonal PositionBase Pay up to $17.25. Earn $2 more for AM sort thru December 26 2022NO EXPERIENCE REQUIRED!Receive up to $5250 per calendar year in Tuition ReimbursementMedical Dental and Vision Benefits eligible for Part Time Package Handlers after 90 days.EEO StatementFedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce'
b'Accounts Payable- job post',b'$18 - $24 an hour - Full-time',b'Accounts Payable ClerkAdvanced Foot & Ankle CenterThe accounts payable specialist will work in conjunction with the billing and administrative team to manage the day-to-day accounts payable and payroll needs of the company.Duties and Responsibilities:Pay the bills that come into the company in a timely manner.Input bills into QuickBooks as you receive them.Send out monthly invoices as needed through QuickBooks.Run payroll for doctors and staff through Paychex and Zions Treasury.File new hire paperwork with the state.Work with the benefits team to input funds into the 401k and HSA plans and payroll deductions are appropriately managed.Maintain active business licenses for all clinic locations.Completely monthly financial tracking/reports as required.Performs other related duties as assigned.RequirementsHigh School Diploma RequiredExcellent written and verbal communications skillsProficient in Microsoft Office Excel and QuickBooksMotivated and extremely positive attitudePreferred QualificationsExperience in a medical office2+ years of Accounts Payable experienceJob Type: Full-timePay: $18.00 - $24.00 per hourBenefits:401(k)401(k) matchingDental insuranceHealth insuranceHealth savings accountPaid time offVision insurancePhysical setting:OfficeSchedule:8 hour shiftDay shiftMonday to FridayEducation:High school or equivalent (Preferred)Experience:Accounts Payable: 1 year (Preferred)QuickBooks: 1 year (Preferred)Work Location: One location'
b'Patient Service Representative- Front Desk- Clinic- job post',b'$17.00 - $22.10 an hour - Part-time',"b""Job Description:No Summary AvailableJob EssentialsYou will represent Intermountain and serve as the point of contact for patients entering Intermountain facilities; we look for individuals who embody Intermountain's values and focus on establishing collaborative relationships with patients and fellow caregivers (employees) to deliver the highest level of customer/patient satisfaction. You ensure superior customer experience by identifying and resolving patient needs related to patient intake and care including greeting and checking-in patients as well as verifying information supplied by patients.Greets incoming customers in a professional manner to assess customer needs and ensures needs are met and customer service expectations exceeded. Typical patient services task includes:Efficiently updates and verifies patient demographics insurance and contact information and assists customers in completing necessary forms to meet regulatory and billing needs prior to receiving clinical care. Scans necessary paperwork and educates patient on financial assistance.Thoughtfully directs patients on next steps and informs patients about delays and wait times.Promptly schedules appointments utilizing provider templates and scheduling guidelines.Proactively requests payments from patients on current and past medical services.Receives and processes those payments following appropriate procedures for handling payments.Supports administrative function of the clinic in working reports addressing patient concerns and performing paperwork.Willingly coordinates with other care teams and other employees to provide a seamless experience for patients.Completes training and pass-off requirements.Minimum QualificationsSix months of customer service experience involving interactions with customers.Demonstrated basic computer skills involving word processing and data entry.Professional manner and strong interpersonal and communication skills.Preferred QualificationsOne year of customer service experience especially in a Hospital or Medical Office.Problem solving ability analytical skills self-motivated and able to work well in a clinic environment.Demonstrate excellent verbal and written communications skills.Physical Requirements:Interact with others requiring the employee to communicate information.Operate computers and other office equipment requiring the ability to move fingers and hands.See and read computer monitors and documents.Remain sitting or standing for long periods of time to perform work on a computer telephone or other equipment.Location:Workmed - Orem Workmed - SpringvilleWork City:OremWork State:UtahScheduled Weekly Hours:0The hourly range for this position is listed below. Actual hourly rate dependent upon experience.$17.00 - $22.10We care about your well-being  mind body and spirit  which is why we provide our caregivers a generous benefits package that covers a wide range of programs to foster a sustainable culture of wellness that encompasses living healthy happy secure connected and engaged. Learn more about our comprehensive benefits package and our commitment to diversity equity and inclusion ."""
b'Receptionist- job post',b'$18 - $25 an hour - Full-time Part-time',b'Arcadia Counseling in Lehi is looking for full-time and part-time Receptionists (8 AM to 4 PM and 4:00 PM to 9:30 PM Monday thru Friday) to manage our front desk to perform a variety of administrative and clerical tasks. As a Receptionist you will be the first point of customer contact for our company. Our Receptionists duties include offering administrative support to our therapists and customers including answering phone calls emails and texts onboarding customers and billing. To be successful as a Receptionist you should have a pleasant personality as this is also a customer service role. You should be able to deal with emergencies in a timely and effective manner while streamlining office operations. Multitasking and stress management skills are essential for this position. Ultimately a Receptionists duties and responsibilities are to ensure the front desk welcomes guests positively and executes all administrative tasks to the highest quality standards.ResponsibilitiesGreet and welcome therapists and clients as soon as they arrive at the officeAnswer phone calls onboard customers and schedule clientsEnsure reception area is tidy and presentable with all necessary stationery and material (e.g. pens forms and brochures)Provide basic and accurate information in-person and via phone/textUpdate company platform with client informationSkillsProven work experience as a Receptionist Front Office Representative or similar roleProficiency with computers websites technologyProfessional attitude and appearanceSolid written and verbal communication skillsAbility to be resourceful and proactive when issues ariseExcellent organizational skillsMultitasking and time-management skills with the ability to prioritize tasksCustomer service attitudeBonus Skills:Experience with SimplePracticeExperience with CredentialingExperience with Insurance BillingExperience in the Mental Health Industry* Please provide Social Media links in your resumeJob Types: Full-time Part-timePay: $18.00 - $25.00 per hourBenefits:401(k)401(k) matchingDental insuranceHealth insurancePaid time offRetirement planVision insuranceSchedule:8 hour shiftDay shiftEvening shiftMonday to FridayApplication Question(s):Please provide personal social media web links.Are you currently going to school in a mental health related field?Experience:Medical billing: 1 year (Preferred)Behavioral health work: 1 year (Preferred)credentialing: 1 year (Preferred)Work Location: One location'
b'Medical Receptionist- job post',b'Full-time',b'Job Purpose: The Patient Concierge is the first point of contact for patients and family members in the center.Essential Functions:Greet patients and families.Answer center telephones distribute faxes and prepare customer files.Schedule patient appointments.Receive and correctly record receipts of patient payments.Enter verify and update patient demographic and insurance information.Obtain insurance verifications (VOB) pre-authorizations and pre-determinations.Process requests for records from outside sources.Scan data into document imaging software.Regular attendance and punctuality.Contributes to team effort by accomplishing related results as needed.Ensures that all processing and reporting deadlines are consistently achieved.Perform any other functions as required by management.Qualifications and Education RequirementsAbility to work a flexible schedule (including overtime and weekends) as necessary.Ability to type 40 wpm.Valid Drivers license & reliable transportation.High School Diploma or equivalent.Experience accessing and updating an EMR system.Preferred SkillsKnowledge of medical terminology.One year of office experience preferred.Required CompetenciesExcellent judgment dependability conscientious performance. Detail oriented. Exceptional interpersonal and communication skills. Caring and empathetic. High ethical standards. Mechanical ability and manual dexterity for operating complicated equipments.Physical Demands and Work EnvironmentThe physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Physical demands: While performing the duties of this job employee is required to walk; sit; use hands to handle or feel objects tools or controls; reach hands and arms; talk and hear. Employee must lift and/or move 50 pounds. Specific vision abilities required by the job include close vision distant vision color vision peripheral vision depth perception speech clarity climb balance and stoop kneel and bend.Work environment: While performing the duties of this job the employee is exposed to environmental risk of radiation exposure and biohazard exposure.Job Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceFlexible scheduleHealth insuranceLife insurancePaid time offReferral programTuition reimbursementVision insuranceHealthcare setting:ClinicMedical specialties:OncologySchedule:Monday to FridayAbility to commute/relocate:Orem UT: Reliably commute or planning to relocate before starting work (Required)Experience:Customer service: 1 year (Preferred)Medical terminology: 1 year (Preferred)Computer skills: 1 year (Preferred)Work Location: One location'
b'Team/Staff Member- job post',b'$20 - $30 an hour - Full-time Part-time',"b""This position is great for friendly energetic and confident individuals who can work along side a team while preparing making and baking high end wood fired pizzas. Some retail food experience is preferred. Training is paid and we don't expect you to have wood fired oven experience it will be provided.This position is great for college students as we can generally work around your school schedule.Advancement opportunities are also available.We are a catering company making high end wood fired pizzas on site at each events location. We average 700+ events annually mostly weddings and corporate parties. This our 10th year in business. We are based out of our offices and commercial kitchen in Orem where all our team members shifts begin and end.Thanks!Job Types: Full-time Part-timePay: $20.00 - $30.00 per hourBenefits:Flexible scheduleSupplemental pay types:TipsEducation:High school or equivalent (Required)Experience:Restaurant Experience: 1 year (Preferred)License/Certification:Driver's License (Required)Work Location: One location"""
b'Teeth Whitening Specialist- job post',b'$18 - $32 an hour - Part-time',b'About usWeWhiten Vineyard is a teeth whitening business in Vineyard UT. We are seeking to fill a part-time role (15-20 hours per week) as a Teeth Whitening Specialist. This position will be appointment-based and require someone who can work flexible hours..Our work environment includes:Trendy/Modern studio spaPrevious Job ExperienceNO EXPERIENCE IS REQUIRED but we are looking for an independent motivated individual who can perform daily tasks without constant supervision and is coachable. We have a lot of opportunity for growth within the company as well as opportunity for additional compensation bonuses & tips!NO EXPERIENCE in teeth whitening is required; we will pay for all training & certification!Job Responsibilities & Expectations:Applying our teeth whitening product to our clients in-studio at our retail location in Vineyard.Processing payments for clients after their appointment.Upselling teeth whitening products to clients.Upselling membership program to clients.Managing our client booking calendar.Uploading Client Results after each appointmentJob Type: Part-TimeWages: $18 to $32 / hourWith client tips commissions and bonuses our new hires earn an average of $25/ hour during their first 3 months. Experienced staff can earn as much as $30+/ hour!Job Type: Part-timePay: $18.00 - $32.00 per hourBenefits:Employee discountFlexible scheduleReferral programSchedule:10 hour shift4 hour shift8 hour shiftAfter schoolDay shiftEvening shiftOn callWeekend availabilitySupplemental pay types:Bonus payCommission payTipsAbility to commute/relocate:Vineyard UT 84059: Reliably commute or planning to relocate before starting work (Required)Shift availability:Day Shift (Preferred)Night Shift (Preferred)Work Location: One location'
